"order_id","order_date","order_total","user_type","product_id","variation_id","quantity","coupon","meta.yarn_usage"
"22097",2021-03-01,354.79,"wholesale buyer","21429","21435",5,NA,NA
"22096",2021-03-01,124.78,"registered customer","21048","21049",1,"tenpercent",NA
"22096",2021-03-01,124.78,"registered customer","21048","21055",1,"tenpercent",NA
"22096",2021-03-01,124.78,"registered customer","21048","21059",1,"tenpercent",NA
"22096",2021-03-01,124.78,"registered customer","21048","21060",1,"tenpercent",NA
"22096",2021-03-01,124.78,"registered customer","21048","21065",1,"tenpercent",NA
"22096",2021-03-01,124.78,"registered customer","21048","21067",1,"tenpercent",NA
"22096",2021-03-01,124.78,"registered customer","21048","21068",1,"tenpercent",NA
"22096",2021-03-01,124.78,"registered customer","21048","21070",1,"tenpercent",NA
"22095",2021-02-28,20,"wholesale buyer",NA,NA,NA,NA,NA
"22094",2021-02-28,174.8,"guest",NA,NA,NA,NA,NA
"22093",2021-02-28,112.14,"guest","17702","19895",6,NA,NA
"22092",2021-02-28,78.07,"registered customer","2586","18004",1,"1signup",NA
"22092",2021-02-28,78.07,"registered customer","2586","18005",1,"1signup",NA
"22092",2021-02-28,78.07,"registered customer","2586","19976",1,"1signup",NA
"22091",2021-02-28,91.99,"registered customer","1946","14334",1,NA,NA
"22091",2021-02-28,91.99,"registered customer","1946","2267",1,NA,NA
"22091",2021-02-28,91.99,"registered customer","1946","3289",1,NA,NA
"22091",2021-02-28,91.99,"registered customer","21000","21004",1,NA,NA
"22091",2021-02-28,91.99,"registered customer","2698","2701",1,NA,NA
"22090",2021-02-27,183.93,"registered customer","16440","19446",1,NA,NA
"22090",2021-02-27,183.93,"registered customer","16440","19691",1,NA,NA
"22090",2021-02-27,183.93,"registered customer","16440","19692",1,NA,NA
"22090",2021-02-27,183.93,"registered customer","19708","19716",1,NA,NA
"22090",2021-02-27,183.93,"registered customer","21048","21054",1,NA,NA
"22090",2021-02-27,183.93,"registered customer","21048","21056",1,NA,NA
"22090",2021-02-27,183.93,"registered customer","21048","21058",1,NA,NA
"22090",2021-02-27,183.93,"registered customer","21048","21062",1,NA,NA
"22090",2021-02-27,183.93,"registered customer","21048","21066",1,NA,NA
"22090",2021-02-27,183.93,"registered customer","21048","21072",1,NA,NA
"22089",2021-02-27,57.36,"registered customer","1085","1091",3,NA,NA
