"product_id","variation_id","name","color","hue1","hue2","hue3","hue4","hue5","hue6"
"17551","18157","matte skinny majesty","bark","red","brown","","","",NA
"17702","17708","persian rug yarn","blue lotus","blue","","","","",NA
"17702","17709","persian rug yarn","borage petal","purple","","","","",NA
"17702","17710","persian rug yarn","green tea","green","","","","",NA
"17702","17711","persian rug yarn","green curry","green","","","","",NA
"17702","17712","persian rug yarn","paprika","red","","","","",NA
"17702","17716","persian rug yarn","green tea","green","","","","",NA
"17702","17717","persian rug yarn","paprika","red","","","","",NA
"17702","19895","persian rug yarn","natural","natural","","","","",NA
"17702","22439","persian rug yarn","toast","orange","","","","",NA
"17702","22440","persian rug yarn","sugar plum","blue","purple","","","",NA
"17848","18106","classic combo duo","violet cotton","pink","purple","","","",NA
"17848","18107","classic combo duo","violet cotton rayon","pink","purple","","","",NA
"17848","18108","classic combo duo","willow cotton","green","","","","",NA
"17848","18109","classic combo duo","willow cotton rayon","green","","","","",NA
"17848","18110","classic combo duo","silver birch cotton","gray","","","","",NA
"17848","18111","classic combo duo","silver birch cotton","gray","","","","",NA
"17848","18950","classic combo duo","purple orchid cotton","purple","","","","",NA
"17848","18951","classic combo duo","purple orchid cotton","purple","","","","",NA
"17848","19363","classic combo duo","light violet cotton","pink","","","","",NA
"1790","1111","gold gimp yarn",NA,"yellow","","","","",NA
"1791","1792","silver & gold metallic yarn spools","silver","gray","","","","",NA
"1791","1793","silver & gold metallic yarn spools","gold","brown","yellow","","","",NA
"17948","1111","bamboo boucle",NA,"gray","","","","",NA
"17955","17956","popcorn yarn","green apple","green","","","","",NA
"17955","17957","popcorn yarn","rainbow gourmet","purple","pink","","","",NA
"17955","18233","popcorn yarn","pop punk","pink","","","","",NA
"17955","18237","popcorn yarn","purple kernel","blue","purple","","","",NA
"17955","19607","popcorn yarn","candy corn","orange","yellow","brown","","",NA
"17955","19608","popcorn yarn","seeded watermelon","green","pink","orange","","",NA
"17955","19802","popcorn yarn","bungalow blue","blue","","","","",NA
"17955","19909","popcorn yarn","red apple","red","orange","pink","","",NA
"17955","20202","popcorn yarn","bubblegum","pink","","","","",NA
"17955","20226","popcorn yarn","light rainbow gourmet","blue","pink","purple","","",NA
"18165","18166","enchanted yarn (unmercerized cotton)","fire red","red","","","","",NA
"18165","18167","enchanted yarn (unmercerized cotton)","deep purple","purple","","","","",NA
"18199","18200","jetty sun yarn","stone","gray","","","","",NA
"18199","18201","jetty sun yarn","algae","green","","","","",NA
"18199","21173","jetty sun yarn","platinum","gray","","","","",NA
"18281","18282","8/4 unmercerized cotton (merry maid)","berry","pink","","","","",NA
"18281","18283","8/4 unmercerized cotton (merry maid)","khaki","green","","","","",NA
"18281","18284","8/4 unmercerized cotton (merry maid)","lavender","purple","","","","",NA
"18281","18288","8/4 unmercerized cotton (merry maid)","sky","blue","","","","",NA
"18281","18289","8/4 unmercerized cotton (merry maid)","cotton candy","pink","","","","",NA
"18281","18561","8/4 unmercerized cotton (merry maid)","lilac","purple","","","","",NA
"18281","19029","8/4 unmercerized cotton (merry maid)","sienna","orange","","","","",NA
"18281","19730","8/4 unmercerized cotton (merry maid)","natural","natural","","","","",NA
"18281","20200","8/4 unmercerized cotton (merry maid)","lime","green","","","","",NA
"18281","20569","8/4 unmercerized cotton (merry maid)","aquatic","blue","","","","",NA
"18281","20570","8/4 unmercerized cotton (merry maid)","barberry","red","","","","",NA
"18281","20571","8/4 unmercerized cotton (merry maid)","barberry","red","","","","",NA
"18281","20572","8/4 unmercerized cotton (merry maid)","aquatic","blue","","","","",NA
"18281","21137","8/4 unmercerized cotton (merry maid)","beeswax","yellow","","","","",NA
"18281","21138","8/4 unmercerized cotton (merry maid)","indigo","blue","","","","",NA
"18281","21139","8/4 unmercerized cotton (merry maid)","tin","gray","","","","",NA
"18281","21140","8/4 unmercerized cotton (merry maid)","spring","blue","","","","",NA
"18281","21190","8/4 unmercerized cotton (merry maid)","bravado","red","","","","",NA
"18281","21192","8/4 unmercerized cotton (merry maid)","gulfstream","blue","green","","","",NA
"18354","18355","wool crepe confetti","natural","brown","natural","","","",NA
"18354","18356","wool crepe confetti","tan","brown","","","","",NA
