"user_id","role"
2162,"customer"
2161,"customer"
2160,"customer"
2159,"customer"
2158,"customer"
2157,"customer"
2156,"customer"
2155,"wholesalebuyer"
2154,"wholesalebuyer"
2153,"wholesalebuyer"
2151,"wholesalebuyer"
2150,"customer"
2149,"customer"
2148,"customer"
2147,"customer"
2146,"customer"
2145,"customer"
2144,"customer"
2143,"wholesalebuyer"
2142,"wholesalebuyer"
2141,"customer"
2140,"customer"
2139,"customer"
2138,"customer"
2137,"customer"
2136,"customer"
2135,"customer"
2134,"customer"
2133,"customer"
2132,"customer"
2131,"customer"
2130,"customer"
2129,"customer"
2128,"customer"
2127,"customer"
2126,"wholesalebuyer"
2125,"wholesalebuyer"
2124,"wholesalebuyer"
2123,"wholesalebuyer"
2122,"wholesalebuyer"
2121,"customer"
2120,"customer"
2119,"customer"
2118,"customer"
2117,"wholesalebuyer"
2116,"customer"
2115,"customer"
2114,"customer"
2113,"customer"
2112,"customer"
2111,"customer"
2110,"customer"
2109,"customer"
2108,"customer"
2107,"customer"
2106,"customer"
2105,"customer"
2104,"customer"
2103,"customer"
2102,"customer"
2101,"customer"
2100,"customer"
2099,"customer"
2098,"customer"
2097,"customer"
2096,"customer"
2095,"wholesalebuyer"
2092,"customer"
2091,"customer"
2090,"wholesalebuyer"
2089,"customer"
2088,"customer"
2087,"customer"
2086,"customer"
2085,"customer"
2084,"customer"
2083,"customer"
2082,"customer"
2081,"wholesalebuyer"
2080,"customer"
2079,"customer"
2078,"customer"
2077,"customer"
2076,"customer"
2075,"customer"
2074,"customer"
2073,"customer"
2072,"customer"
2071,"customer"
2070,"customer"
2069,"customer"
2068,"customer"
2067,"wholesalebuyer"
2066,"wholesalebuyer"
2065,"wholesalebuyer"
2064,"customer"
2063,"customer"
2062,"customer"
2061,"customer"
2060,"customer"
2059,"customer"
2058,"customer"
2057,"customer"
2056,"customer"
2055,"customer"
2054,"wholesalebuyer"
2053,"customer"
2052,"customer"
2051,"customer"
2050,"customer"
2049,"customer"
2048,"customer"
2047,"customer"
2046,"customer"
2045,"customer"
2044,"customer"
2043,"customer"
2042,"customer"
2041,"customer"
2040,"customer"
2039,"customer"
2038,"customer"
2037,"customer"
2036,"customer"
2035,"customer"
2034,"customer"
2033,"customer"
2032,"wholesalebuyer"
2031,"customer"
2030,"customer"
2029,"customer"
2028,"customer"
2027,"customer"
2026,"customer"
2025,"customer"
2024,"customer"
2023,"customer"
2022,"customer"
2021,"customer"
2020,"customer"
2019,"customer"
2018,"customer"
2017,"customer"
2016,"customer"
2015,"customer"
2014,"customer"
2013,"customer"
2012,"customer"
2011,"customer"
2010,"wholesalebuyer"
2009,"customer"
2008,"customer"
2007,"wholesalebuyer"
2006,"wholesalebuyer"
2005,"wholesalebuyer"
2004,"customer"
2003,"customer"
2002,"customer"
2001,"customer"
2000,"customer"
1999,"customer"
1998,"wholesalebuyer"
1997,"wholesalebuyer"
1996,"customer"
1995,"customer"
1994,"customer"
1993,"wholesalebuyer"
1992,"wholesalebuyer"
1991,"customer"
1990,"customer"
1989,"customer"
1988,"customer"
1987,"customer"
1986,"wholesalebuyer"
1985,"customer"
1984,"wholesalebuyer"
1983,"wholesalebuyer"
1982,"customer"
1981,"customer"
1980,"customer"
1979,"customer"
1978,"customer"
1977,"customer"
1976,"customer"
1975,"wholesalebuyer"
1974,"customer"
1973,"customer"
1972,"customer"
1970,"customer"
1969,"customer"
1968,"wholesalebuyer"
1967,"wholesalebuyer"
1966,"customer"
1965,"customer"
1964,"customer"
1963,"wholesalebuyer"
1962,"wholesalebuyer"
1960,"customer"
1959,"wholesalebuyer"
1958,"customer"
1957,"customer"
1956,"wholesalebuyer"
1955,"wholesalebuyer"
1954,"customer"
1953,"customer"
1952,"customer"
1951,"customer"
1950,"wholesalebuyer"
1949,"customer"
1948,"customer"
1947,"customer"
1946,"customer"
1945,"customer"
1943,"customer"
1942,"customer"
1941,"customer"
1940,"customer"
1939,"customer"
1938,"wholesalebuyer"
1937,"customer"
1936,"customer"
1935,"customer"
1934,"customer"
1933,"customer"
1932,"customer"
1931,"wholesalebuyer"
1930,"customer"
1929,"customer"
1928,"customer"
1927,"wholesalebuyer"
1926,"customer"
1925,"customer"
1924,"customer"
1923,"wholesalebuyer"
1922,"wholesalebuyer"
1920,"wholesalebuyer"
1919,"customer"
1918,"customer"
1917,"customer"
1916,"customer"
1915,"customer"
1914,"customer"
1913,"customer"
1912,"customer"
1911,"customer"
1910,"customer"
1909,"customer"
1908,"customer"
1907,"customer"
1906,"wholesalebuyer"
1905,"wholesalebuyer"
1904,"customer"
1903,"customer"
1902,"customer"
1901,"customer"
1900,"customer"
1899,"customer"
1898,"wholesalebuyer"
1897,"customer"
1896,"customer"
1895,"customer"
1894,"wholesalebuyer"
1893,"customer"
1892,"customer"
1891,"customer"
1890,"customer"
1889,"customer"
1888,"customer"
1887,"customer"
1886,"customer"
1885,"wholesalebuyer"
1884,"customer"
1883,"wholesalebuyer"
1882,"wholesalebuyer"
1880,"customer"
1879,"customer"
1878,"customer"
1877,"customer"
1876,"customer"
1875,"customer"
1874,"customer"
1873,"customer"
1872,"customer"
1871,"customer"
1870,"customer"
1869,"customer"
1868,"wholesalebuyer"
1867,"wholesalebuyer"
1866,"customer"
1865,"customer"
1864,"customer"
1863,"customer"
1862,"customer"
1861,"customer"
1860,"customer"
1859,"customer"
1858,"customer"
1857,"customer"
1856,"customer"
1855,"customer"
1854,"customer"
1853,"customer"
1852,"customer"
1851,"customer"
1850,"customer"
1849,"customer"
1848,"customer"
1847,"customer"
1846,"customer"
1845,"customer"
1844,"customer"
1843,"customer"
1842,"customer"
1841,"customer"
1840,"customer"
1839,"customer"
1838,"customer"
1837,"customer"
1836,"customer"
1835,"customer"
1834,"customer"
1833,"customer"
1832,"customer"
1831,"customer"
1830,"customer"
1829,"customer"
1828,"customer"
1827,"customer"
1826,"customer"
1825,"customer"
1824,"customer"
1823,"customer"
1822,"customer"
1821,"customer"
1820,"customer"
1819,"customer"
1818,"customer"
1817,"customer"
1816,"customer"
1815,"customer"
1814,"customer"
1813,"customer"
1812,"customer"
1811,"customer"
1810,"customer"
1809,"customer"
1808,"customer"
1807,"customer"
1806,"customer"
1805,"customer"
1804,"customer"
1803,"customer"
1802,"customer"
1801,"customer"
1800,"customer"
1799,"customer"
1798,"customer"
1797,"customer"
1796,"customer"
1795,"wholesalebuyer"
1794,"customer"
1793,"customer"
1792,"wholesalebuyer"
1791,"customer"
1790,"customer"
1789,"wholesalebuyer"
1788,"customer"
1787,"customer"
1786,"customer"
1785,"customer"
1784,"customer"
1783,"customer"
1782,"customer"
1781,"customer"
1780,"customer"
1779,"customer"
1778,"customer"
1777,"customer"
1776,"customer"
1775,"wholesalebuyer"
1774,"customer"
1773,"customer"
1772,"wholesalebuyer"
1771,"wholesalebuyer"
1770,"customer"
1769,"customer"
1768,"customer"
1767,"customer"
1766,"customer"
1765,"customer"
1764,"customer"
1763,"customer"
1762,"wholesalebuyer"
1761,"customer"
1760,"customer"
1759,"wholesalebuyer"
1758,"customer"
1757,"wholesalebuyer"
1756,"customer"
1755,"customer"
1754,"customer"
1753,"wholesalebuyer"
1752,"wholesalebuyer"
1751,"customer"
1750,"customer"
1749,"customer"
1748,"customer"
1747,"customer"
1746,"customer"
1745,"customer"
1744,"wholesalebuyer"
1743,"customer"
1742,"wholesalebuyer"
1741,"wholesalebuyer"
1740,"wholesalebuyer"
1739,"customer"
1738,"customer"
1737,"customer"
1737,"wholesalebuyer"
1736,"wholesalebuyer"
1735,"customer"
1734,"wholesalebuyer"
1733,"wholesalebuyer"
1732,"wholesalebuyer"
1731,"customer"
1730,"customer"
1729,"customer"
1728,"wholesalebuyer"
1727,"customer"
1726,"customer"
1725,"customer"
1724,"wholesalebuyer"
1723,"customer"
1722,"wholesalebuyer"
1721,"customer"
1719,"customer"
1718,"customer"
1717,"wholesalebuyer"
1716,"customer"
1714,"customer"
1713,"wholesalebuyer"
1712,"customer"
1711,"customer"
1710,"wholesalebuyer"
1709,"customer"
1708,"customer"
1707,"customer"
1706,"customer"
1705,"customer"
1704,"wholesalebuyer"
1703,"wholesalebuyer"
1702,"customer"
1701,"customer"
1700,"customer"
1699,"customer"
1698,"customer"
1697,"customer"
1696,"customer"
1695,"customer"
1694,"wholesalebuyer"
1693,"wholesalebuyer"
1692,"customer"
1691,"customer"
1690,"customer"
1689,"wholesalebuyer"
1688,"customer"
1687,"customer"
1685,"wholesalebuyer"
