"order_id","order_date","order_total","customer_id","billing_company"
"20318",2020-11-02,87,"548","the beginning shop"
"20317",2020-10-31,40.23,"52",NA
"20316",2020-10-31,65.97,"91","do it yarns"
"20315",2020-10-31,72.98,"145",NA
"20314",2020-10-31,330.05,"253","saori santa cruz"
"20313",2020-10-31,545.32,"253","saori santa cruz"
"20312",2020-10-31,41.08,"375",NA
"20307",2020-10-30,147.05,"469",NA
"20284",2020-10-30,39.14,"321",NA
"20283",2020-10-30,36.98,"344",NA
"20282",2020-10-29,50.87,"149",NA
"20281",2020-10-29,176.7,"271",NA
"20275",2020-10-29,155.91,"18",NA
"20274",2020-10-28,51.94,"545",NA
"20272",2020-10-28,95.97,"464",NA
"20271",2020-10-28,248.2,"464",NA
"20270",2020-10-26,68.05,"127","bell"
"20269",2020-10-26,273.68,"235","janell wysock textiles"
"20268",2020-10-25,78.93,"356","village comforts"
"20267",2020-10-23,67.04,"100",NA
"20235",2020-10-22,42.4,"160",NA
"20173",2020-10-21,270.89,"253","saori santa cruz"
"20172",2020-10-21,44.54,"8",NA
"20170",2020-10-21,124.01,"371",NA
"20155",2020-10-21,71.96,"390",NA
"20154",2020-10-21,55.3,"447",NA
"20153",2020-10-20,45.62,"545",NA
"20151",2020-10-19,25.99,"92","siddhi soul dba coastal craft supply co."
"20149",2020-10-18,47.76,"393","sandra elizabeth diaz"
"20148",2020-10-18,76.8,"188",NA
"20147",2020-10-18,52.99,"374",NA
"20146",2020-10-18,71.35,"248","this land clothing co llc"
"20145",2020-10-17,209.27,"370","miss adventure weaving"
"20144",2020-10-17,105.36,"378",NA
"20143",2020-10-17,87.85,"61",NA
"20142",2020-10-17,210.41,"464",NA
"20141",2020-10-17,156.39,"480",NA
"20140",2020-10-16,85.34,"491",NA
"20135",2020-10-16,23.82,"164",NA
"20132",2020-10-16,114.31,"238",NA
"20131",2020-10-15,44.54,"403",NA
"20130",2020-10-15,83.23,"553",NA
"20129",2020-10-15,38,"471",NA
"20128",2020-10-15,38.03,"191",NA
"20127",2020-10-15,44.55,"374",NA
"20121",2020-10-14,428.03,"555",NA
"20120",2020-10-13,130.55,"271",NA
"20119",2020-10-13,68.12,"261",NA
"20118",2020-10-13,65.95,"343",NA
"20117",2020-10-13,39.98,"344",NA
"20107",2020-10-12,21.87,"403",NA
"20097",2020-10-12,39.15,"402",NA
"20092",2020-10-12,155.31,"291",NA
"20034",2020-10-11,35.23,"494",NA
"20033",2020-10-09,267.41,"223",NA
"20032",2020-10-09,70.3,"527",NA
"20031",2020-10-09,177.22,"56",NA
"20030",2020-10-09,76.76,"256",NA
"20029",2020-10-09,56.27,"349","maria dora llc"
"20028",2020-10-09,68.98,"46","bri weaves"
"20023",2020-10-09,26.2,"542",NA
"20021",2020-10-09,199.1,"165",NA
"20020",2020-10-09,146.68,"315",NA
"20018",2020-10-09,76.78,"356","village comforts"
"20017",2020-10-09,231.95,"453",NA
"20016",2020-10-09,156.29,"406","pan's garden yarns"
"20015",2020-10-08,76.76,"553",NA
"20013",2020-10-08,68.14,"464",NA
"20012",2020-10-08,76.7,"446",NA
"20008",2020-10-06,305.47,"555",NA
"20007",2020-10-06,60.57,"457",NA
"20006",2020-10-04,97.94,"302",NA
"20005",2020-10-04,118.89,"46","bri weaves"
"19974",2020-10-01,93.8,"182",NA
"19973",2020-10-01,26.19,"280",NA
"19972",2020-10-01,35.23,"280",NA
"19971",2020-10-01,183.09,"170",NA
"19970",2020-10-01,39.14,"547",NA
"19968",2020-09-30,24,"489",NA
"19967",2020-09-30,55.18,"403",NA
"19937",2020-09-29,103.51,"141",NA
"19936",2020-09-28,197.76,"308","the quilted canvas"
"19935",2020-09-28,29.43,"120",NA
"19933",2020-09-27,31.59,"562",NA
"19931",2020-09-25,38,"54","jody’s quilting innovations"
"19930",2020-09-25,22,"489",NA
