"product_id","variation_id","name","color"
"19708","19709","thick and thin cotton with linen","bright white"
"18281","20571","8/4 unmercerized cotton (merry maid)","barberry"
"18281","20569","8/4 unmercerized cotton (merry maid)","aquatic"
"18281","19029","8/4 unmercerized cotton (merry maid)","sienna"
"18354","18355","wool crepe confetti","natural"
"20497","20503","two ply metallic yarn","silver"
"20497","20504","two ply metallic yarn","light blue"
"17088","9999","poly oreo yarn",NA
"21551","21564","radiant wool rayon","honey crystal"
"21551","21552","radiant wool rayon","lilac luster"
"21551","21566","radiant wool rayon","gala garnet"
"1739","17325","wool crepe yarn","brilliant orange"
"1739","16191","wool crepe yarn","coral"
"9625","13172","super fine wool***super special price***","epic orange"
"9625","13165","super fine wool***super special price***","neon"
"1739","16189","wool crepe yarn","custard"
"1085","1089","florafil super soft cotton yarn | bulky","blue hyacinth"
"19107","19108","bulky merino wool","arctic"
"13312","19591","jewels","black black"
"14587","14588","softball skein metallic","silver"
"20506","9999","three ply metallic yarn","copper black"
"20506","21487","three ply metallic yarn","copper"
"20506","21491","three ply metallic yarn","green"
"20506","21495","three ply metallic yarn","turquoise"
"21000","21002","lustrous loopy","cascade"
"21000","21003","lustrous loopy","verde"
"20214","20216","sunburst yarn",NA
"21429","21435","cloud yarn",NA
"1085","1102","florafil super soft cotton yarn | bulky","red hibiscus"
"1085","1096","florafil super soft cotton yarn | bulky","helenium mardi gras"
"1085","1086","florafil super soft cotton yarn | bulky","aster"
"1085","1089","florafil super soft cotton yarn | bulky","blue hyacinth"
"13654","19016","4/4 cotton yarn","stone"
"16495","16496","fun mini skeins","jade"
"9357","17520","rayon ribbon","purple night"
"19708","19709","thick and thin cotton with linen","bright white"
"19107","19110","bulky merino wool","crow"
"19107","20080","bulky merino wool","roasted pumpkin"
"19107","20456","bulky merino wool","bubble gum"
"19107","20457","bulky merino wool","candy twist"
"605","1051","american lamb yarn","natural"
"19107","19109","bulky merino wool","barn red"
"20986","20990","lana loopy","brass"
"11180","12639","seeded ratton (avanti)","natural"
"11180","13992","seeded ratton (avanti)","dark navy"
"11180","13994","seeded ratton (avanti)","black"
"11180","19883","seeded ratton (avanti)","purple plum"
"1987","2009","wayfarer yarn","iron bridge"
