"order_id","product_id","variation_id","quantity"
18502,"16047","9999",1
18502,"1946","15014",1
18502,"1946","18368",1
18502,"1946","3633",1
18502,"3512","3514",1
18502,"6342","15537",1
18503,"1144","1159",1
18504,"16614","16625",2
18504,"16614","16633",2
18504,"16614","16637",2
18504,"9625","13172",3
18505,"17166","17359",2
18506,"1946","15014",2
18507,"16934","9999",1
18507,"17151","9999",2
18507,"17848","18110",1
18507,"17848","18111",1
18508,"10496","10718",2
18508,"1085","9999",1
18508,"13654","16703",2
18508,"13654","17270",3
18508,"13654","17329",1
18508,"1572","9999",4
18508,"18165","18166",1
18508,"18165","18167",1
18508,"18281","18282",2
18508,"18281","18283",1
18508,"18281","18286",1
18508,"3512","16068",2
18508,"9824","9829",2
18511,"16306","16307",2
18513,"1739","17063",1
18513,"1739","2558",1
18514,"16934","9999",2
18515,"18165","18166",1
18515,"18165","18167",1
18515,"18165","18168",1
18515,"6854","7124",2
18516,"11180","12635",1
18516,"18199","18201",2
18516,"18354","18356",1
18516,"6342","15536",2
18520,"1058","9999",4
18521,"2382","15921",3
18521,"2382","2384",1
18522,"12399","12401",4
18522,"16756","16757",3
18524,"1739","15097",1
18524,"1739","18321",1
18525,"18165","18167",1
18525,"8165","17663",1
18526,"1946","15014",1
18527,"16234","9999",1
18527,"16756","16766",1
18527,"17032","18375",1
18527,"2382","15874",1
18527,"9357","17520",1
18528,"13654","16703",1
18528,"13654","16913",2
18528,"13654","17244",1
18528,"13654","17270",1
18528,"13654","17329",1
18528,"13654","9999",3
18528,"18281","18282",1
18528,"18281","18283",1
18528,"18281","18284",1
18528,"18281","18285",1
18528,"18281","18286",1
18528,"18281","18287",4
18528,"18281","18288",1
18528,"18281","18289",1
18528,"2382","15875",1
18528,"2382","15878",1
18528,"2382","15921",1
18528,"2382","17136",1
18528,"2382","18317",1
18528,"2382","2384",2
18529,"10496","10498",1
18529,"10855","13051",1
18529,"11180","12639",1
18529,"11180","13992",1
18529,"13790","13799",2
18529,"13904","13909",1
18529,"16440","17938",1
18529,"16440","9999",1
18529,"17303","17305",1
18529,"17848","18107",1
18529,"18165","18167",1
18529,"18165","18168",2
18529,"18281","18282",1
18529,"18281","18286",1
18529,"18281","18287",1
18529,"2698","14848",1
18529,"2698","14849",1
18529,"2698","18389",1
18529,"2698","2701",1
18529,"2698","2929",1
18529,"2698","3443",1
18529,"2698","9962",1
18529,"2698","9999",1
18529,"6342","15538",1
18529,"9226","9231",1
18529,"9357","16158",1
18529,"9357","17520",1
18529,"9367","15773",1
18529,"9367","15775",1
18529,"9367","17127",1
18529,"9367","9417",1
18530,"12984","15704",1
18530,"12984","17832",1
18530,"12984","17833",1
18530,"14587","14588",1
18530,"14587","14590",2
18530,"14587","14591",2
18530,"18165","18166",1
18530,"18165","18167",1
18530,"18281","18282",1
18530,"18281","18283",1
18530,"18281","18284",1
18530,"18281","18285",1
